id,name,unitAddress,surveyor ,climate ,temperature,startedAt ,endedAt ,modePedestrian,genderMale ,genderFemale ,age0To14 ,age25To64 ,age15To24 ,age65Plus ,activityRunning ,activityPlaying,activityRollerbladingSkateboarding ,activityConversing ,objectStroller,objectPushcart,notes
1420,TOWNSEND251,"251 Townsend St San Francisco, CA 94107",Corina Velazco,cloudy,59,06/10/14 05:25 PM,06/10/14 05:35 PM,63,39,24,0,0,0,3,0,0,0,1,0,0,
1421,TOWNSEND250,"250 Townsend St San Francisco, CA 94107",Corina Velazco,cloudy,59,06/10/14 06:25 PM,06/10/14 06:35 PM,35,24,11,0,0,0,0,1,0,0,0,0,0,
1422,TOWNSEND251,"251 Townsend St San Francisco, CA 94107",Corina Velazco,cloudy,58,06/10/14 06:05 PM,06/10/14 06:15 PM,59,35,24,0,2,0,0,0,0,0,0,0,0,
1423,HAIGHT1550,"1550 Haight St San Francisco, CA 94117",Justin Panganiban,sunny,70,06/24/14 12:05 PM,06/24/14 12:15 PM,88,49,39,0,8,0,11,0,0,0,3,0,0,
1424,HAIGHT1551,"1551 Haight St San Francisco, CA 94117",Justin Panganiban,sunny,70,06/24/14 12:23 PM,06/24/14 12:33 PM,63,35,28,0,7,0,8,0,0,2,0,0,0,
1425,HAIGHT1550,"1550 Haight St San Francisco, CA 94117",Justin Panganiban,sunny,70,06/24/14 01:03 PM,06/24/14 01:13 PM,107,52,55,0,0,0,10,0,0,2,2,0,0,
1426,HAIGHT1551,"1551 Haight St San Francisco, CA 94117",Justin Panganiban,sunny,70,06/24/14 01:23 PM,06/24/14 01:33 PM,72,27,45,0,4,0,2,0,0,1,0,0,0,
1427,YOSEMITE1750,"1750 Yosemite Ave San Francisco, CA 94124",Sara Ameri,sunny,,06/24/14 10:05 PM,06/24/14 01:10 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,
1428,YOSEMITE1751,"1751 Yosemite Ave San Francisco, CA 94124",Sara Ameri,sunny,,06/24/14 01:20 PM,06/24/14 01:25 PM,1,0,1,0,0,0,0,0,0,0,0,0,0,
1429,YOSEMITE1751,"1751 Yosemite Ave San Francisco, CA 94124",Sara Ameri,sunny,,06/24/14 12:10 PM,06/24/14 12:15 PM,3,1,2,0,0,0,0,0,0,0,0,0,0,
1430,YOSEMITE1750,"1750 Yosemite Ave San Francisco, CA 94124",Sara Ameri,sunny,,06/24/14 12:05 PM,06/24/14 12:10 PM,6,2,4,0,0,0,1,0,0,0,0,0,0,
1431,FILBERT2150,"2150 Filbert St San Francisco, CA 94123",Justin Panganiban,cloudy,63,06/25/14 12:02 PM,06/25/14 12:12 PM,3,2,1,0,0,0,2,0,0,0,0,0,0,
1432,FILBERT2151,"2151 Filbert St San Francisco, CA 94123",Justin Panganiban,cloudy,63,06/25/14 12:12 PM,06/25/14 12:22 PM,5,3,2,0,0,0,1,0,0,0,0,0,0,
1433,FILBERT2150,"2150 Filbert St San Francisco, CA 94123",Justin Panganiban,cloudy,61,06/25/14 01:02 PM,06/25/14 01:12 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,
1434,FILBERT2151,"2151 Filbert St San Francisco, CA 94123",Justin Panganiban,cloudy,61,06/25/14 01:12 PM,06/25/14 01:22 PM,4,1,3,0,0,0,0,0,0,0,0,0,0,
1435,FILBERT2150,"2150 Filbert St San Francisco, CA 94123",Justin Panganiban,sunny,70,06/24/14 06:02 PM,06/24/14 06:12 PM,12,2,10,0,1,0,1,1,0,0,1,0,0,
1436,FILBERT2151,"2151 Filbert St San Francisco, CA 94123",Justin Panganiban,sunny,70,06/24/14 06:12 PM,06/24/14 06:22 PM,15,4,11,0,0,0,0,1,0,0,0,0,0,
1437,FILBERT2150,"2150 Filbert St San Francisco, CA 94123",Justin Panganiban,sunny,70,06/24/14 05:01 PM,06/24/14 05:11 PM,7,4,3,0,0,0,1,1,0,0,0,0,0,
