id,name,notes,location,startedAt,endedAt,modePedestrian
SFMove105,Memorial Court,"8AM: 0W, 1S. 9AM: 0W, 0S mostly commuters or walking dogs. 10AM-12PM: 0W, 0S 12PM: 0W, 1S 1PM: 0W, 0S 2PM: 1W, 0S 3PM: 0W, 1S 4PM: 0W, 2S 5PM: 0W, 0S 6PM: 1W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",05/25/17 03:00 PM,05/25/17 03:10 PM,1
SFMove106,Mcallister at Van Ness,"8AM: 0W, 1S. 9AM-12PM: 0W, 0S. 12PM: 1W, 0S 1PM: 0W, 0S 2PM: 0W, 1S, one bike on sidewalk. 3PM: 0W, 1S 4PM: 1W, 0S 5PM: 0W, 1S 6PM: 0W, 0S 7PM: 0W, 0S","-122.42080181837, 37.7800716527685",05/25/17 01:00 PM,05/25/17 01:10 PM,1
SFMove107,Mcallister at Van Ness,"8AM: 0W, 1S. 9AM-12PM: 0W, 0S. 12PM: 1W, 0S 1PM: 0W, 0S 2PM: 0W, 1S, one bike on sidewalk. 3PM: 0W, 1S 4PM: 1W, 0S 5PM: 0W, 1S 6PM: 0W, 0S 7PM: 0W, 0S","-122.42080181837, 37.7800716527685",05/25/17 03:00 PM,05/25/17 03:10 PM,1
SFMove108,Mcallister at Van Ness,"8AM: 0W, 1S. 9AM-12PM: 0W, 0S. 12PM: 1W, 0S 1PM: 0W, 0S 2PM: 0W, 1S, one bike on sidewalk. 3PM: 0W, 1S 4PM: 1W, 0S 5PM: 0W, 1S 6PM: 0W, 0S 7PM: 0W, 0S","-122.42080181837, 37.7800716527685",05/25/17 06:00 PM,05/25/17 06:10 PM,1
SFMove109,Memorial Court,"8AM: 0W, 1S. 9AM: 0W, 0S mostly commuters or walking dogs. 10AM-12PM: 0W, 0S 12PM: 0W, 1S 1PM: 0W, 0S 2PM: 1W, 0S 3PM: 0W, 1S 4PM: 0W, 2S 5PM: 0W, 0S 6PM: 1W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",05/25/17 01:00 PM,05/25/17 01:10 PM,1
SFMove110,Mcallister at Van Ness,"8AM: 0W, 1S. 9AM-12PM: 0W, 0S. 12PM: 1W, 0S 1PM: 0W, 0S 2PM: 0W, 1S, one bike on sidewalk. 3PM: 0W, 1S 4PM: 1W, 0S 5PM: 0W, 1S 6PM: 0W, 0S 7PM: 0W, 0S","-122.42080181837, 37.7800716527685",05/25/17 11:00 AM,05/25/17 11:10 AM,1
SFMove111,Mcallister at Van Ness,"8AM: 0W, 1S. 9AM-12PM: 0W, 0S. 12PM: 1W, 0S 1PM: 0W, 0S 2PM: 0W, 1S, one bike on sidewalk. 3PM: 0W, 1S 4PM: 1W, 0S 5PM: 0W, 1S 6PM: 0W, 0S 7PM: 0W, 0S","-122.42080181837, 37.7800716527685",05/25/17 09:00 AM,05/25/17 09:10 AM,1
SFMove112,Memorial Court,"8AM: 0W, 1S. 9AM: 0W, 0S mostly commuters or walking dogs. 10AM-12PM: 0W, 0S 12PM: 0W, 1S 1PM: 0W, 0S 2PM: 1W, 0S 3PM: 0W, 1S 4PM: 0W, 2S 5PM: 0W, 0S 6PM: 1W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",05/25/17 12:00 PM,05/25/17 12:10 PM,1
SFMove113,Memorial Court,"8AM: 0W, 1S. 9AM: 0W, 0S mostly commuters or walking dogs. 10AM-12PM: 0W, 0S 12PM: 0W, 1S 1PM: 0W, 0S 2PM: 1W, 0S 3PM: 0W, 1S 4PM: 0W, 2S 5PM: 0W, 0S 6PM: 1W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",05/25/17 06:00 PM,05/25/17 06:10 PM,1
SFMove114,Memorial Court,"8AM: 0W, 1S. 9AM: 0W, 0S mostly commuters or walking dogs. 10AM-12PM: 0W, 0S 12PM: 0W, 1S 1PM: 0W, 0S 2PM: 1W, 0S 3PM: 0W, 1S 4PM: 0W, 2S 5PM: 0W, 0S 6PM: 1W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",05/25/17 04:00 PM,05/25/17 04:10 PM,1
SFMove115,Polk at Mcallister,"8am: 1WC, 3S;11am: 1S; 1-2: 1 skate; 2-3: 1 skate; 4PM: 0W, 0S; 5PM: 0W, 2S 6-8PM: 0W, 0S","-122.418643981218, 37.7804935183439",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove116,Grove at Civic Center Plaza (north side),"4Di. 8-12 Grove closed off to cars; 12-1: 2W, 3S; 1-2: 1S; 4PM-8PM: 0W, 0S","-122.417451068758, 37.7786761941644",06/07/17 12:00 PM,06/07/17 12:10 PM,1
